|-fail|p1b: Dondozo|unboost|Attack|[from] ability: Oblivious|[of] p1b: Dondozo
|-fail|p1b: Dondozo|unboost|Attack|[from] ability: Oblivious|[of] p1b: Dondozo
|-fail|p1a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Dragonite
|-fail|p1a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Dragonite
|-fail|p1b: Dnite|unboost|[from] ability: Clear Body|[of] p1b: Dnite
|-fail|p2a: Umbreon|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Umbreon
|-fail|p1a: Arcanine|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Arcanine
|-fail|p1b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Dragonite
|-fail|p2b: Dondozo|unboost|Attack|[from] ability: Oblivious|[of] p2b: Dondozo
|-fail|p2a: Sasuke|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Sasuke
|-fail|p2a: Sasuke|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Sasuke
|-fail|p1b: Tinkaton|unboost|Attack|[from] ability: Own Tempo|[of] p1b: Tinkaton
|-fail|p1a: Garganacl|unboost|[from] ability: Clear Body|[of] p1a: Garganacl
|-fail|p2b: Cannon|unboost|[from] ability: Clear Body|[of] p2b: Cannon
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p2b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2b: Dragonite
|-fail|p2b: Dnite|unboost|[from] ability: Clear Body|[of] p2b: Dnite
|-fail|p1a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Dragonite
|-fail|p2a: Dnite|unboost|[from] ability: Clear Body|[of] p2a: Dnite
|-fail|p1a: Dragapult|unboost|[from] ability: Clear Body|[of] p1a: Dragapult
|-fail|p1a: Girafarig|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Girafarig
|-fail|p1b: Dondozo|unboost|Attack|[from] ability: Oblivious|[of] p1b: Dondozo
|-fail|p1b: Dondozo|unboost|Attack|[from] ability: Oblivious|[of] p1b: Dondozo
|-fail|p2a: Dragapult|unboost|[from] ability: Clear Body|[of] p2a: Dragapult
|-fail|p2b: Tinkaton|unboost|Attack|[from] ability: Own Tempo|[of] p2b: Tinkaton
|-fail|p1b: Tinkaton|unboost|Attack|[from] ability: Own Tempo|[of] p1b: Tinkaton
|-fail|p1b: Tinkaton|unboost|Attack|[from] ability: Own Tempo|[of] p1b: Tinkaton
|-fail|p2b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2b: Dragonite
|-fail|p1a: Lucario|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Lucario
|-fail|p2b: Dnite|unboost|[from] ability: Clear Body|[of] p2b: Dnite
|-fail|p1b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Dragonite
|-fail|p1b: Fletchling|unboost|Defense|[from] ability: Big Pecks|[of] p1b: Fletchling
|-fail|p1a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Dragonite
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p1b: Dondozo|unboost|Attack|[from] ability: Oblivious|[of] p1b: Dondozo
|-fail|p2b: Flamigo|unboost|Attack|[from] ability: Scrappy|[of] p2b: Flamigo
|-fail|p1a: Torkoal|unboost|[from] ability: White Smoke|[of] p1a: Torkoal
|-fail|p1b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Dragonite
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p1a: Dragapult|unboost|[from] ability: Clear Body|[of] p1a: Dragapult
|-fail|p2b: Dondozo|unboost|Attack|[from] ability: Oblivious|[of] p2b: Dondozo
|-fail|p2b: Dragapult|unboost|[from] ability: Clear Body|[of] p2b: Dragapult
|-fail|p2b: Dragapult|unboost|[from] ability: Clear Body|[of] p2b: Dragapult
|-fail|p2b: AlanMendosa|unboost|Attack|[from] ability: Inner Focus|[of] p2b: AlanMendosa
|-fail|p2a: Dragapult|unboost|[from] ability: Clear Body|[of] p2a: Dragapult
|-fail|p2b: Tinkaton|unboost|Attack|[from] ability: Own Tempo|[of] p2b: Tinkaton
|-fail|p1a: Accepting|unboost|Attack|[from] ability: Oblivious|[of] p1a: Accepting
|-fail|p1a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Dragonite
|-fail|p1b: Texas|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Texas
|-fail|p1b: Texas|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Texas
|-fail|p1b: Texas|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Texas
|-fail|p2b: Tinkaton|unboost|Attack|[from] ability: Own Tempo|[of] p2b: Tinkaton
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1b: Tinkaton|unboost|Attack|[from] ability: Own Tempo|[of] p1b: Tinkaton
|-fail|p1b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Dragonite
|-fail|p2a: Dnite|unboost|[from] ability: Clear Body|[of] p2a: Dnite
|-fail|p1a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Dragonite
|-fail|p2a: Dragapult|unboost|[from] ability: Clear Body|[of] p2a: Dragapult
|-fail|p1a: Dragapult|unboost|[from] ability: Clear Body|[of] p1a: Dragapult
|-fail|p2b: Dragapult|unboost|[from] ability: Clear Body|[of] p2b: Dragapult
|-fail|p2a: Dragapult|unboost|[from] ability: Clear Body|[of] p2a: Dragapult
|-fail|p1b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Dragonite
|-fail|p1b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Dragonite
|-fail|p1b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Dragonite
|-fail|p1a: Dragapult|unboost|[from] ability: Clear Body|[of] p1a: Dragapult
|-fail|p1a: Dnite|unboost|[from] ability: Clear Body|[of] p1a: Dnite
|-fail|p2a: Dnite|unboost|[from] ability: Clear Body|[of] p2a: Dnite
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p2a: Sledge Queen|unboost|Attack|[from] ability: Own Tempo|[of] p2a: Sledge Queen
|-fail|p2b: Tinkaton|unboost|Attack|[from] ability: Own Tempo|[of] p2b: Tinkaton
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p1a: Dragapult|unboost|[from] ability: Clear Body|[of] p1a: Dragapult
|-fail|p1a: Dragapult|unboost|[from] ability: Clear Body|[of] p1a: Dragapult
|-fail|p1b: CPS|unboost|[from] ability: Clear Body|[of] p1b: CPS
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1a: Dragapult|unboost|[from] ability: Clear Body|[of] p1a: Dragapult
|-fail|p1b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Dragonite
|-fail|p2b: 不可爱|unboost|Attack|[from] ability: Inner Focus|[of] p2b: 不可爱
|-fail|p1a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Dragonite
|-fail|p1a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Dragonite
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1a: Baars|unboost|[from] ability: Clear Body|[of] p1a: Baars
|-fail|p1a: Dragapult|unboost|[from] ability: Clear Body|[of] p1a: Dragapult
|-fail|p2b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2b: Dragonite
|-fail|p2b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2b: Dragonite
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p2b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2b: Dragonite
|-fail|p2a: Vox|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Vox
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p2a: Dragapult|unboost|[from] ability: Clear Body|[of] p2a: Dragapult
|-fail|p2b: Dragapult|unboost|[from] ability: Clear Body|[of] p2b: Dragapult
|-fail|p1a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Dragonite
|-fail|p2b: 不可爱|unboost|Attack|[from] ability: Inner Focus|[of] p2b: 不可爱
|-fail|p1a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Dragonite
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1a: Dragaputl|unboost|[from] ability: Clear Body|[of] p1a: Dragaputl
|-fail|p1a: Dragaputl|unboost|[from] ability: Clear Body|[of] p1a: Dragaputl
|-fail|p1b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Dragonite
|-fail|p1b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Dragonite
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p2a: Lucario|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Lucario
|-fail|p2a: Dnite|unboost|[from] ability: Clear Body|[of] p2a: Dnite
|-fail|p2a: Dnite|unboost|[from] ability: Clear Body|[of] p2a: Dnite
|-fail|p2a: Dnite|unboost|[from] ability: Clear Body|[of] p2a: Dnite
|-fail|p2a: Dnite|unboost|[from] ability: Clear Body|[of] p2a: Dnite
|-fail|p1a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Dragonite
|-fail|p1b: Dnite|unboost|[from] ability: Clear Body|[of] p1b: Dnite
|-fail|p1a: Dragapult|unboost|[from] ability: Clear Body|[of] p1a: Dragapult
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p2b: Hamlet's Dad|unboost|Attack|[from] ability: Inner Focus|[of] p2b: Hamlet's Dad
|-fail|p1b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Dragonite
|-fail|p2a: Dragapult|unboost|[from] ability: Clear Body|[of] p2a: Dragapult
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1a: Dragapult|unboost|[from] ability: Clear Body|[of] p1a: Dragapult
|-fail|p2b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2b: Dragonite
|-fail|p2b: Dragapult|unboost|[from] ability: Clear Body|[of] p2b: Dragapult
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p2b: Dragapult|unboost|[from] ability: Clear Body|[of] p2b: Dragapult
|-fail|p1a: DozoingOff|unboost|Attack|[from] ability: Oblivious|[of] p1a: DozoingOff
|-fail|p1a: DozoingOff|unboost|Attack|[from] ability: Oblivious|[of] p1a: DozoingOff
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p2a: Oranguru|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Oranguru
|-fail|p2a: Oranguru|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Oranguru
|-fail|p2b: Mudsdale|unboost|Attack|[from] ability: Own Tempo|[of] p2b: Mudsdale
|-fail|p1b: Oranguru|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Oranguru
|-fail|p2b: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2b: Dragonite
|-fail|p1b: Umbreon|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Umbreon
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p2b: Dragapult|unboost|[from] ability: Clear Body|[of] p2b: Dragapult
|-fail|p2b: Dnite|unboost|[from] ability: Clear Body|[of] p2b: Dnite
|-fail|p1a: Dragapult|unboost|[from] ability: Clear Body|[of] p1a: Dragapult
|-fail|p2b: Lucario|unboost|Attack|[from] ability: Inner Focus|[of] p2b: Lucario
|-fail|p2b: Dondozo|unboost|Attack|[from] ability: Oblivious|[of] p2b: Dondozo
|-fail|p2a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p2a: Dragonite
|-fail|p1b: Lucario|unboost|Attack|[from] ability: Inner Focus|[of] p1b: Lucario
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
|-fail|p2b: Dragapult|unboost|[from] ability: Clear Body|[of] p2b: Dragapult
|-fail|p1b: Slowbro|unboost|Attack|[from] ability: Oblivious|[of] p1b: Slowbro
|-fail|p1a: Dragonite|unboost|Attack|[from] ability: Inner Focus|[of] p1a: Dragonite
|-fail|p1b: Dragapult|unboost|[from] ability: Clear Body|[of] p1b: Dragapult
