Pelipper | PepperBird
Barraskewda | FishOnKebab
Chien-Pao | Liepard(Ice)
Gholdengo | GoldenGo
Palafin | Tsunami
Chien-Pao | Saber
Brute Bonnet | Emo
Gholdengo | Treasure
Ting-Lu | AmigosFumar
Orthworm | NomNomNom
Dragonite | Españita
Chi-Yu | Spicy Goldfish
Iron Jugulis | Hydreigon LITE
Gholdengo | Gholdilocks
Wigglytuff | Wigglybuff
Tinkaton | Bonkaton
Orthworm | NomNomNom
Dragonite | Españita
Iron Jugulis | Hydreigon LITE
Gholdengo | Gholdilocks
Farigiraf | Giraifari
Wigglytuff | Wigglybuff
Mimikyu | Better Pikachu
Iron Hands | Big hands
Kingambit | Chainsaw man
Pincurchin | No sleeping
Murkrow | pajaro
Chi-Yu | pez
Flutter Mane | fantasma
Great Tusk | mamut
Farigiraf | Voodoov
Iron Valiant | Joy-Zero
Flutter Mane | Hot Cheetos Gurl
Tinkaton | Whammer
Chi-Yu | Spicy Goldfish
Iron Jugulis | Hydreigon LITE
Gholdengo | Gholdilocks
Hariyama | Mr. SUMO
Great Tusk | 雄伟侠
Flutter Mane | 振翼发
Torkoal | 煤炭龟
Jumpluff | 毽子棉
Farigiraf | Voodoov
Ting-Lu | Man
Tinkaton | Whammer
Oricorio | Milkshake
Volcarona | Fries
Kilowattrel | Garlic Bread
Dragapult | McFlurry
Iron Bundle | Delibundle
Iron Valiant | Galiant
Grimmsnarl | grime
Arcanine | soul
Iron Hands | trap
Corviknight | grunge
Oricorio | Milkshake
Volcarona | Fries
Scream Tail | Marshmallow
Dragapult | McFlurry
Torkoal | HOT
Flutter Mane | FANCY
Great Tusk | Trouble
Chien-Pao | Breakthrough
Tyranitar | Darude Joke
Palafin | Dozo
Amoonguss | WoChien
Arcanine | ChiYu
Flutter Mane | Mimi
Tauros | 🔥
Corviknight | Survival Tactics
Maushold | THE MAUS IS REAL!!
Mimikyu | Vengeance
Flutter Mane | Tranga Rugie
Arcanine | Pauline!
Chien-Pao | Azira
Dragapult | Broederliefde
Lilligant | Princess Pea
Torkoal | Primal Groundon
Flutter Mane | Raven
Great Tusk | Daddy Tusk
Lilligant | Princess Pea
Torkoal | Primal Groundon
Flutter Mane | Raven
Great Tusk | Daddy Tusk
Altaria | Cloud Bird
Iron Hands | Bargaining
Iron Bundle | CS Delibird
Kingambit | FG Annihilape
Flutter Mane | A Bad Hair Day
Chi-Yu | 金魚
Annihilape | To Mad to Live
Murkrow | Tweak or Tweet
Flutter Mane | grumpy
Maushold | Annoying
Chien-Pao | Ruiner
Murkrow | purple
Finneon | If None N
Shuppet | Shet Pup
Pichu | I C U P (h)
Flutter Mane | flutter ya mane
Chi-Yu | LOVE BETRAYAL
Iron Bundle | bundle of bitches
Iron Hands | catch these hands
Iron Moth | Crimson
Flutter Mane | flutter ya mane
Iron Hands | catch these hands
Corviknight | Robin Krärmor
Ting-Lu | Wickie
Amoonguss | Lui
Chi-Yu | Sam
Kingambit | BadGuy
Palafin | Dozo
Arcanine | ChiYu
Flutter Mane | Mimi
Iron Moth | Crimson
Wo-Chien | Leshen
Flutter Mane | flutter ya mane
Chi-Yu | LOVE BETRAYAL
Iron Bundle | bundle of bitches
Palafin | BANKAI
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Arcanine | ChiYu
Wo-Chien | Leshen
Palafin | Dozo
Dragapult | Dnite
Arcanine | ChiYu
Flutter Mane | Mimi
Pelipper | The Jordan of VGC
Amoonguss | Immovable object
Floatzel | El Nadador
Iron Hands | obligatory Paradox
Greedent | Iron Squirrel
Iron Moth | Crimson
Wo-Chien | Leshen
Dondozo | DonBozo
Tatsugiri | TatsuLeery
Garchomp | GarSwamp
Dondozo | PAPÁ
Tatsugiri | MAMÁ
Pelipper | A LLOVER
Drednaw | COSTRA
Quaquaval | Quesadilla
Espathra | Lindt
Sandy Shocks | Shortcake
Arcanine | butter dog
Slither Wing | Slither King
Flutter Mane | butter bane
Chien-Pao | kitty
Flutter Mane | Flutter Mango
Glimmora | Glimmousse
Amoonguss | Almonduss
Chi-Yu | Chi-Yuzu
Roaring Moon | Sailor
Indeedee | Blue
Flutter Mane | Mimi
Iron Moth | Crimson
Flutter Mane | Mimi
Zorua | Arouz
Finneon | If None N
Cacnea | Ace Can
Shuppet | Shet Pup
Makuhita | Makuhammad Ali
Larvesta | Donttakemysta
Bagon | Bag on head
Surskit | Stinker
Roaring Moon | Ho-0h
Torkoal | Breakthrough
Ting-Lu | fl-co os-mr
Arcanine | ofc sup npr
Baxcalibur | stu pr
Umbreon | Sasuke
Ting-Lu | SumTingWong
Dondozo | grande pesce
Tatsugiri | piccolo pesce
Iron Bundle | mangio pesce
Glimmora | alga
Dragonite | strano pesce
Chi-Yu | pesce emo
Iron Bundle | mangio pesce
Glimmora | alga
Dragonite | strano pesce
Chi-Yu | pesce emo
Iron Bundle | mangio pesce
Glimmora | alga
Umbreon | Sasuke
Umbreon | Sasuke
Flutter Mane | FANCY
